Date,Open,High,Low,Close
2019/12/12,90.4,94.3,90.4,91.5
2019/12/13,91.5,92.5,88.0,88.4
2019/12/16,88.5,90.4,88.4,90.0
2019/12/17,90.5,91.3,89.2,89.9
2019/12/18,90.3,90.3,89.1,90.0
2019/12/19,90.0,92.7,90.0,91.0
2019/12/20,90.5,91.2,88.5,89.0
2019/12/23,89.6,89.6,88.5,88.5
2019/12/24,88.5,88.9,86.3,86.9
2019/12/25,86.4,87.9,86.4,87.9
2019/12/26,87.4,87.9,86.7,86.8
2019/12/27,87.2,92.3,86.7,90.7
2019/12/30,92.0,92.0,89.2,90.2
2019/12/31,90.0,90.6,89.1,89.3
2020/01/02,89.4,93.5,89.4,92.1
2020/01/03,91.2,91.3,88.6,89.4
2020/01/06,89.0,89.4,87.8,87.8
2020/01/07,88.3,88.3,86.4,86.7
2020/01/08,86.7,87.2,86.5,86.6
2020/01/09,86.5,86.5,85.6,86.2
2020/01/10,87.6,91.3,87.6,90.4
2020/01/13,89.2,90.4,89.1,90.4
2020/01/14,91.0,99.2,90.8,98.2
2020/01/15,96.2,101.2,95.8,99.7
2020/01/16,100.2,106.1,98.7,103.1
2020/01/17,103.6,109.0,101.7,106.6
2020/01/20,106.1,107.1,101.7,105.1
2020/01/30,94.7,97.9,94.6,94.6
2020/01/31,93.3,97.4,91.5,95.3
2020/02/03,91.9,95.0,89.2,93.3
2020/02/04,93.8,95.8,93.8,94.2
2020/02/05,93.8,94.6,92.6,92.9
2020/02/06,92.8,96.1,92.8,94.3
2020/02/07,96.2,103.6,95.3,101.7
2020/02/10,98.7,101.7,98.2,101.2
2020/02/11,102.1,107.5,101.2,106.1
2020/02/12,107.1,107.1,103.6,104.1
2020/02/13,102.1,103.6,100.7,101.7
2020/02/14,102.6,111.5,101.7,111.5
2020/02/17,107.1,112.9,105.1,111.5
2020/02/18,109.0,112.0,106.1,106.6
2020/02/19,107.1,115.9,107.1,114.4
2020/02/20,113.9,116.9,111.5,114.4
2020/02/21,114.4,114.9,111.0,112.5
2020/02/24,109.0,110.5,107.5,107.5
2020/02/25,104.1,111.5,104.1,109.0
2020/02/26,107.1,109.5,105.1,106.6
2020/02/27,108.0,108.0,98.2,101.2
2020/03/02,95.7,102.6,95.6,100.2
2020/03/03,102.6,103.1,98.7,101.7
2020/03/04,101.2,101.7,97.9,98.2
2020/03/05,100.7,103.1,99.2,101.2
2020/03/06,99.7,100.7,98.7,99.7
2020/03/09,97.5,99.2,90.4,90.4
2020/03/10,87.9,90.1,87.1,89.9
2020/03/11,90.7,91.9,88.5,88.6
2020/03/12,86.4,86.4,79.7,79.9
2020/03/13,72.0,79.5,72.0,79.5
2020/03/16,77.6,78.5,71.7,71.8
2020/03/17,66.3,72.3,65.8,69.7
2020/03/18,70.8,71.7,66.0,68.7
2020/03/19,65.8,65.9,61.9,61.9
2020/03/20,63.8,68.1,63.8,68.1
2020/03/23,64.3,67.8,62.8,65.8
2020/03/24,67.9,71.6,67.2,70.6
2020/03/25,73.2,76.4,71.9,72.5
2020/03/26,72.5,74.2,69.4,72.2
2020/03/27,73.7,74.2,70.5,72.5
2020/03/30,69.3,73.2,68.7,73.2
2020/03/31,73.6,74.6,72.4,73.7
2020/04/01,72.2,73.9,72.2,73.7
2020/04/06,74.9,81.0,74.1,81.0
2020/04/07,83.5,86.1,82.0,84.7
2020/04/08,84.0,86.3,82.9,86.3
2020/04/09,86.2,88.1,85.0,86.2
2020/04/10,86.2,86.2,84.5,86.0
2020/04/13,84.5,86.2,84.0,84.4
2020/04/14,84.4,89.0,84.4,88.4
2020/04/15,89.4,89.4,87.3,88.5
2020/04/16,87.4,88.6,86.6,87.9
2020/04/17,89.4,90.9,86.9,87.4
2020/04/20,88.3,88.3,85.9,87.0
2020/04/21,86.6,87.0,84.0,84.0
2020/04/22,83.2,86.0,81.2,85.9
2020/04/23,87.3,87.3,85.9,86.9
2020/04/24,86.9,86.9,85.9,86.2
2020/04/27,88.1,90.0,88.1,88.9
2020/04/28,89.4,89.9,88.8,89.4
