Date,Open,High,Low,Close
2018/05/28,82.0,163.0,82.0,160.6
2018/05/29,153.0,161.0,150.1,158.0
2018/05/30,158.6,158.6,138.0,147.0
2018/05/31,147.0,148.0,138.0,143.0
2018/06/01,140.0,140.0,134.0,137.0
2018/06/04,137.0,137.0,130.0,132.0
2018/06/05,130.0,131.0,121.0,125.5
2018/06/06,124.5,141.6,124.0,139.0
2018/06/07,140.5,150.0,138.7,144.0
2018/06/08,142.0,143.5,135.0,141.5
2018/06/11,141.5,141.5,137.0,137.0
2018/06/12,136.0,138.0,135.0,136.5
2018/06/13,135.0,137.0,134.0,137.0
2018/06/14,134.0,136.0,133.0,135.0
2018/06/15,133.0,140.0,133.0,140.0
2018/06/19,139.0,139.0,131.0,131.0
2018/06/20,131.0,136.0,131.0,133.0
2018/06/21,133.0,135.0,132.0,133.0
2018/06/22,132.0,132.0,130.0,130.0
2018/06/25,129.5,131.5,128.0,129.0
2018/06/26,128.5,128.5,124.0,126.5
2018/06/27,126.5,131.0,125.5,127.0
2018/06/28,126.0,127.0,124.5,124.5
2018/06/29,124.5,126.5,123.0,124.0
2018/07/02,124.0,124.5,121.0,122.0
2018/07/03,121.0,122.0,120.0,120.0
2018/07/04,120.0,122.0,119.0,122.0
2018/07/05,119.5,120.0,115.0,119.0
2018/07/06,115.0,119.4,113.0,114.0
2018/07/09,117.0,117.0,114.0,114.0
2018/07/10,116.0,117.0,114.5,114.5
2018/07/11,116.0,118.0,113.5,114.0
2018/07/12,118.0,118.0,114.0,114.4
2018/07/13,114.0,120.4,114.0,118.0
2018/07/16,119.0,127.0,118.0,121.0
2018/07/17,120.0,121.0,117.0,117.4
2018/07/18,123.0,123.0,117.0,117.0
2018/07/19,117.0,120.0,117.0,120.0
2018/07/20,117.0,119.5,117.0,119.5
2018/07/23,119.5,120.0,119.0,119.0
2018/07/24,118.0,118.0,117.0,117.0
2018/07/25,118.0,118.0,116.0,118.0
2018/07/26,117.0,118.0,116.0,116.5
2018/07/27,117.0,117.5,116.0,117.0
2018/07/30,117.0,117.0,116.5,116.5
2018/07/31,116.5,117.0,116.0,116.0
2018/08/01,115.0,116.0,115.0,116.0
2018/08/02,115.0,116.5,115.0,115.0
2018/08/03,116.0,120.5,115.0,120.0
2018/08/06,122.0,126.3,120.0,126.3
2018/08/07,125.0,126.3,121.5,123.0
2018/08/08,121.5,123.0,121.5,123.0
2018/08/09,123.0,123.5,121.0,122.0
2018/08/10,121.5,122.0,119.5,122.0
2018/08/13,121.0,121.0,119.0,119.0
2018/08/14,120.5,121.0,119.0,120.0
2018/08/15,119.0,119.5,118.0,119.0
2018/08/16,118.5,118.5,116.0,118.0
2018/08/17,118.0,121.0,116.5,117.5
2018/08/20,118.0,118.0,116.0,117.0
2018/08/21,116.0,116.5,113.0,115.5
2018/08/22,115.5,116.0,114.5,115.0
2018/08/23,116.5,117.0,116.0,116.5
2018/08/24,115.0,116.0,115.0,115.5
2018/08/27,116.0,117.0,115.0,117.0
2018/08/28,115.0,118.0,115.0,118.0
2018/08/29,118.0,122.0,118.0,122.0
2018/08/30,118.0,120.5,118.0,120.5
2018/08/31,120.5,122.5,120.0,121.0
2018/09/03,118.5,119.0,118.0,118.5
2018/09/04,117.5,118.0,116.0,116.0
2018/09/05,119.0,121.0,118.0,119.0
2018/09/06,118.5,118.5,117.0,118.5
2018/09/07,119.0,119.0,116.0,116.0
2018/09/10,115.5,116.0,109.0,110.5
2018/09/11,112.5,112.5,111.0,111.0
2018/09/12,112.0,112.0,110.0,110.5
2018/09/13,109.0,111.0,109.0,111.0
2018/09/14,109.0,110.0,109.0,110.0
2018/09/17,110.0,111.0,109.5,110.0
2018/09/18,109.5,109.5,109.5,109.5
2018/09/19,109.5,110.5,108.0,110.5
2018/09/20,110.5,111.5,109.0,111.0
2018/09/21,109.0,111.0,109.0,111.0
2018/09/25,109.5,110.0,108.0,108.5
